date,D30:ROSI.MAA1.P2
2019-01-31,17500.0
2019-02-28,17600.0
2019-03-31,17700.0
2019-04-30,17800.0
2019-05-31,17900.0
2019-06-30,18000.0
2019-07-31,18050.0
2019-08-31,18100.0
2019-09-30,18150.0
2019-10-31,18200.0
2019-11-30,18250.0
2019-12-31,18300.0
2020-01-31,18300.0
2020-02-29,18350.0
2020-03-31,18400.0
2020-04-30,18400.0
2020-05-31,18400.0
2020-06-30,18400.0
2020-07-31,18450.0
2020-08-31,18550.0
2020-09-30,18650.0
2020-10-31,18750.0
2020-11-30,18850.0
2020-12-31,18950.0
2021-01-31,19000.0
2021-02-28,19050.0
2021-03-31,19150.0
2021-04-30,19250.0
2021-05-31,19350.0
2021-06-30,19450.0
2021-07-31,19550.0
2021-08-31,19650.0
2021-09-30,19650.0
2021-10-31,19650.0
2021-11-30,19650.0
2021-12-31,19650.0
2022-01-31,19650.0
2022-02-28,19650.0
2022-03-31,19730.0
2022-04-30,19730.0
2022-05-31,19780.0
2022-06-30,19810.0
2022-07-31,19840.0
2022-08-31,20900.0
2022-09-30,20900.0
2022-10-31,20900.0
2022-11-30,20960.0
2022-12-31,20570.0
2023-01-31,20380.0
2023-02-28,20380.0
2023-03-31,20380.0
2023-04-30,20380.0
2023-05-31,20440.0
2023-06-30,20440.0
2023-07-31,20440.0
2023-08-31,20440.0
2023-09-30,20770.0
2023-10-31,20770.0
2023-11-30,20800.0
2023-12-31,20583.0
2024-01-31,20503.0
2024-02-29,20583.0
2024-03-31,20583.0
2024-04-30,20613.0
2024-05-31,20613.0
2024-06-30,20613.0
2024-07-31,20638.0
2024-08-31,20688.0
2024-09-30,20738.0
2024-10-31,20788.0
2024-11-30,20438.0
2024-12-31,20238.0
2025-01-31,20187.0
2025-02-28,20217.0
2025-03-31,20307.0
2025-04-30,20382.0
2025-05-31,20432.0
2025-06-30,20507.0
2025-07-31,20532.0
2025-08-31,20582.0
2025-09-30,19513.0
2025-10-31,19519.0
2025-11-30,19154.0
2025-12-31,19043.0
2026-01-31,19268.0
2026-02-28,19318.0
2026-03-31,19393.0
2026-04-30,19393.0
2026-05-31,19418.0
2026-06-30,19443.0
2026-07-31,19468.0
