date,D30:ROSN.MAB2.P1ZZR
2019-01-31,20.0
2019-02-28,20.0
2019-03-31,40.0
2019-04-30,43.0
2019-05-31,10.0
2019-06-30,20.0
2019-07-31,20.0
2019-08-31,30.0
2019-09-30,30.0
2019-10-31,30.0
2019-11-30,30.0
2019-12-31,60.0
2020-01-31,60.0
2020-02-29,85.0
2020-03-31,111.0
2020-04-30,55.0
2020-05-31,55.0
2020-06-30,55.0
2020-07-31,55.0
2020-08-31,55.0
2020-09-30,55.0
2020-10-31,55.0
2020-11-30,55.0
2020-12-31,55.0
2021-01-31,55.0
2021-02-28,55.0
2021-03-31,55.0
2021-04-30,55.0
2021-09-30,20.0
2021-10-31,155.0
2021-11-30,195.0
2021-12-31,235.0
2022-01-31,235.0
2022-02-28,235.0
2022-03-31,235.0
2022-04-30,235.0
2022-05-31,235.0
2022-06-30,235.0
2022-07-31,235.0
2022-08-31,235.0
2022-09-30,235.0
2022-10-31,235.0
2022-11-30,235.0
2022-12-31,175.0
2023-01-31,175.0
2023-02-28,175.0
2023-03-31,175.0
2023-04-30,80.0
2023-05-31,80.0
2023-06-30,80.0
2023-07-31,80.0
2023-08-31,80.0
2023-09-30,140.0
2023-10-31,140.0
2023-11-30,140.0
2023-12-31,140.0
2024-01-31,140.0
2024-02-29,140.0
2024-03-31,140.0
2024-04-30,140.0
2024-05-31,60.0
2024-06-30,110.0
2024-07-31,110.0
2024-08-31,135.0
2024-09-30,135.0
2024-10-31,194.0
2024-11-30,214.0
2024-12-31,214.0
2025-01-31,264.0
2025-02-28,290.0
2025-03-31,290.0
2025-04-30,359.0
2025-05-31,359.0
2025-06-30,359.0
2025-07-31,404.0
2025-08-31,404.0
2025-09-30,404.0
2025-10-31,479.0
2025-11-30,492.0
2025-12-31,492.0
2026-01-31,492.0
2026-02-28,492.0
2026-03-31,492.0
2026-04-30,492.0
2026-05-31,492.0
2026-06-30,492.0
2026-07-31,492.0
