date,D30:ROSN.MAB2.P1ZZT
2019-01-31,310.0
2019-02-28,316.0
2019-03-31,289.0
2019-04-30,290.0
2019-05-31,307.0
2019-06-30,296.0
2019-07-31,307.0
2019-08-31,319.0
2019-09-30,314.0
2019-10-31,321.0
2019-11-30,339.0
2019-12-31,288.0
2020-01-31,293.0
2020-02-29,331.0
2020-03-31,352.0
2020-04-30,345.0
2020-05-31,376.0
2020-06-30,402.0
2020-07-31,396.0
2020-08-31,410.0
2020-09-30,420.0
2020-10-31,428.0
2020-11-30,441.0
2020-12-31,444.0
2021-01-31,451.0
2021-02-28,431.0
2021-03-31,455.0
2021-04-30,489.0
2021-05-31,460.0
2021-06-30,491.0
2021-07-31,485.0
2021-08-31,493.0
2021-09-30,523.0
2021-10-31,542.0
2021-11-30,567.0
2021-12-31,632.0
2022-01-31,634.0
2022-02-28,626.0
2022-03-31,601.0
2022-04-30,610.0
2022-05-31,621.0
2022-06-30,590.0
2022-07-31,571.0
2022-08-31,583.0
2022-09-30,570.0
2022-10-31,492.0
2022-11-30,556.0
2022-12-31,570.0
2023-01-31,573.0
2023-02-28,574.0
2023-03-31,594.0
2023-04-30,614.0
2023-05-31,626.0
2023-06-30,620.0
2023-07-31,660.0
2023-08-31,647.0
2023-09-30,660.0
2023-10-31,661.0
2023-11-30,672.0
2023-12-31,693.0
2024-01-31,698.0
2024-02-29,700.0
2024-03-31,686.0
2024-04-30,673.0
2024-05-31,674.0
2024-06-30,713.0
2024-07-31,737.0
2024-08-31,725.0
2024-09-30,717.0
2024-10-31,744.0
2024-11-30,757.0
2024-12-31,730.0
2025-01-31,753.0
2025-02-28,786.0
2025-03-31,777.0
2025-04-30,816.0
2025-05-31,868.0
2025-06-30,853.0
2025-07-31,840.0
2025-08-31,827.0
2025-09-30,789.0
2025-10-31,790.0
2025-11-30,793.0
2025-12-31,823.0
2026-01-31,793.0
2026-02-28,777.0
2026-03-31,786.0
2026-04-30,712.0
2026-05-31,680.0
2026-06-30,650.0
2026-07-31,690.0
