date,D30:ROSN.MAB2.P2ZZD
2019-01-31,1000.0
2019-02-28,1000.0
2019-03-31,1000.0
2019-04-30,1000.0
2019-05-31,1000.0
2019-06-30,1000.0
2019-07-31,1000.0
2019-08-31,1000.0
2019-09-30,1000.0
2019-10-31,1000.0
2019-11-30,1000.0
2019-12-31,1000.0
2020-01-31,1000.0
2020-02-29,1000.0
2020-03-31,1000.0
2020-04-30,1000.0
2020-05-31,1170.0
2020-06-30,1480.0
2020-07-31,1750.0
2020-08-31,1993.0
2020-09-30,2493.0
2020-10-31,2737.0
2020-11-30,2862.0
2020-12-31,2967.0
2021-01-31,3012.0
2021-02-28,3097.0
2021-03-31,3167.0
2021-04-30,3167.0
2021-05-31,3167.0
2021-06-30,3167.0
2021-07-31,3167.0
2021-08-31,3167.0
2021-09-30,3167.0
2021-10-31,3167.0
2021-11-30,3167.0
2021-12-31,3167.0
2022-01-31,3167.0
2022-02-28,3167.0
2022-03-31,3167.0
2022-04-30,3167.0
2022-05-31,3167.0
2022-06-30,3167.0
2022-07-31,3167.0
2022-08-31,3167.0
2022-09-30,3167.0
2022-10-31,3167.0
2022-11-30,3167.0
2022-12-31,2777.0
2023-01-31,2587.0
2023-02-28,2587.0
2023-03-31,2587.0
2023-04-30,2587.0
2023-05-31,2587.0
2023-06-30,2587.0
2023-07-31,2587.0
2023-08-31,2587.0
2023-09-30,2887.0
2023-10-31,2887.0
2023-11-30,2887.0
2023-12-31,2640.0
2024-01-31,2485.0
2024-02-29,2485.0
2024-03-31,2485.0
2024-04-30,2485.0
2024-05-31,2485.0
2024-06-30,2485.0
2024-07-31,2485.0
2024-08-31,2485.0
2024-09-30,2485.0
2024-10-31,2485.0
2024-11-30,2485.0
2024-12-31,2485.0
2025-01-31,2485.0
2025-02-28,2485.0
2025-03-31,2485.0
2025-04-30,2485.0
2025-05-31,2485.0
2025-06-30,2485.0
2025-07-31,2485.0
2025-08-31,2485.0
2025-09-30,1770.0
2025-10-31,1751.0
2025-11-30,1336.0
2025-12-31,1200.0
2026-01-31,1400.0
2026-02-28,1400.0
2026-03-31,1400.0
2026-04-30,1400.0
2026-05-31,1400.0
2026-06-30,1400.0
2026-07-31,1400.0
