date,D30:ROSN.MAB2.P2ZZP
2019-01-31,9401.0
2019-02-28,9493.0
2019-03-31,9604.0
2019-04-30,9770.0
2019-05-31,9820.0
2019-06-30,10062.0
2019-07-31,10102.0
2019-08-31,10115.0
2019-09-30,10147.0
2019-10-31,10156.0
2019-11-30,10083.0
2019-12-31,10238.0
2020-01-31,10238.0
2020-02-29,10236.0
2020-03-31,10274.0
2020-04-30,10274.0
2020-05-31,10274.0
2020-06-30,10274.0
2020-07-31,10302.0
2020-08-31,10242.0
2020-09-30,10077.0
2020-10-31,9690.0
2020-11-30,9644.0
2020-12-31,9419.0
2021-01-31,9416.0
2021-02-28,9350.0
2021-03-31,9409.0
2021-04-30,9411.0
2021-05-31,9435.0
2021-06-30,9495.0
2021-07-31,9452.0
2021-08-31,9467.0
2021-09-30,9459.0
2021-10-31,9315.0
2021-11-30,9005.0
2021-12-31,8902.0
2022-01-31,8855.0
2022-02-28,8855.0
2022-03-31,8855.0
2022-04-30,8854.0
2022-05-31,9004.0
2022-06-30,8662.0
2022-07-31,8925.0
2022-08-31,9275.0
2022-09-30,9189.0
2022-10-31,9474.0
2022-11-30,9675.0
2022-12-31,9687.0
2023-01-31,9798.0
2023-02-28,9575.0
2023-03-31,9870.0
2023-04-30,9969.0
2023-05-31,9822.0
2023-06-30,9994.0
2023-07-31,9896.0
2023-08-31,9773.0
2023-09-30,9879.0
2023-10-31,9833.0
2023-11-30,10404.0
2023-12-31,10539.0
2024-01-31,10392.0
2024-02-29,10255.0
2024-03-31,9621.0
2024-04-30,9499.0
2024-05-31,9598.0
2024-06-30,9670.0
2024-07-31,9742.0
2024-08-31,10746.0
2024-09-30,10748.0
2024-10-31,10787.0
2024-11-30,10543.0
2024-12-31,10655.0
2025-01-31,10755.0
2025-02-28,10782.0
2025-03-31,10823.0
2025-04-30,11020.0
2025-05-31,11078.0
2025-06-30,11096.0
2025-07-31,11096.0
2025-08-31,11111.0
2025-09-30,10961.0
2025-10-31,11036.0
2025-11-30,11040.0
2025-12-31,11075.0
2026-01-31,11095.0
2026-02-28,11095.0
2026-03-31,10888.0
2026-04-30,10871.0
2026-05-31,10966.0
2026-06-30,11019.0
2026-07-31,11169.0
