date,D30:ROSN.MAB2.P9ZZC
2019-01-31,894.0
2019-02-28,872.0
2019-03-31,898.0
2019-04-30,1333.0
2019-05-31,1297.0
2019-06-30,1397.0
2019-07-31,1594.0
2019-08-31,1660.0
2019-09-30,2292.0
2019-10-31,2277.0
2019-11-30,2664.0
2019-12-31,2794.0
2020-01-31,2666.0
2020-02-29,2731.0
2020-03-31,2871.0
2020-04-30,3483.0
2020-05-31,3525.0
2020-06-30,3372.0
2020-07-31,3322.0
2020-08-31,3156.0
2020-09-30,3463.0
2020-10-31,3501.0
2020-11-30,3363.0
2020-12-31,3196.0
2021-01-31,3215.0
2021-02-28,3312.0
2021-03-31,3220.0
2021-04-30,3708.0
2021-05-31,3778.0
2021-06-30,3820.0
2021-07-31,3896.0
2021-08-31,3969.0
2021-09-30,4080.0
2021-10-31,4180.0
2021-11-30,4058.0
2021-12-31,4048.0
2022-01-31,4083.0
2022-02-28,4489.0
2022-03-31,4398.0
2022-04-30,4499.0
2022-05-31,4972.0
2022-06-30,4925.0
2022-07-31,4973.0
2022-08-31,5202.0
2022-09-30,5407.0
2022-10-31,5516.0
2022-11-30,5703.0
2022-12-31,5645.0
2023-01-31,5588.0
2023-02-28,5537.0
2023-03-31,5525.0
2023-04-30,5535.0
2023-05-31,5465.0
2023-06-30,5232.0
2023-07-31,5273.0
2023-08-31,5278.0
2023-09-30,5303.0
2023-10-31,5314.0
2023-11-30,5323.0
2023-12-31,5390.0
2024-01-31,5301.0
2024-02-29,5298.0
2024-03-31,5168.0
2024-04-30,5189.0
2024-05-31,5166.0
2024-06-30,5292.0
2024-07-31,5288.0
2024-08-31,5151.0
2024-09-30,5110.0
2024-10-31,5159.0
2024-11-30,5207.0
2024-12-31,5206.0
2025-01-31,5338.0
2025-02-28,5269.0
2025-03-31,5019.0
2025-04-30,4914.0
2025-05-31,4880.0
2025-06-30,3917.0
2025-07-31,3950.0
2025-08-31,4003.0
2025-09-30,3887.0
2025-10-31,3511.0
2025-11-30,3485.0
2025-12-31,3636.0
2026-01-31,3591.0
2026-02-28,3544.0
2026-03-31,3534.0
2026-04-30,3593.0
2026-05-31,3585.0
2026-06-30,3587.0
2026-07-31,3741.0
