date,D30:ROSN.MAB2.P9ZZW
2019-01-31,75.0
2019-02-28,98.0
2019-03-31,91.0
2019-04-30,180.0
2019-05-31,172.0
2019-06-30,172.0
2019-07-31,130.0
2019-08-31,141.0
2019-09-30,126.0
2019-10-31,140.0
2019-11-30,158.0
2019-12-31,163.0
2020-01-31,176.0
2020-02-29,183.0
2020-03-31,169.0
2020-04-30,348.0
2020-05-31,298.0
2020-06-30,294.0
2020-07-31,225.0
2020-08-31,259.0
2020-09-30,408.0
2020-10-31,385.0
2020-11-30,399.0
2020-12-31,396.0
2021-01-31,400.0
2021-02-28,403.0
2021-03-31,418.0
2021-04-30,527.0
2021-05-31,565.0
2021-06-30,652.0
2021-07-31,679.0
2021-08-31,706.0
2021-09-30,695.0
2021-10-31,692.0
2021-11-30,737.0
2021-12-31,764.0
2022-01-31,779.0
2022-02-28,840.0
2022-03-31,914.0
2022-04-30,924.0
2022-05-31,1032.0
2022-06-30,1127.0
2022-07-31,1095.0
2022-08-31,1077.0
2022-09-30,1117.0
2022-10-31,1065.0
2022-11-30,926.0
2022-12-31,920.0
2023-01-31,928.0
2023-02-28,975.0
2023-03-31,981.0
2023-04-30,1059.0
2023-05-31,1125.0
2023-06-30,1192.0
2023-07-31,1157.0
2023-08-31,1154.0
2023-09-30,1129.0
2023-10-31,1109.0
2023-11-30,1078.0
2023-12-31,991.0
2024-01-31,1080.0
2024-02-29,1078.0
2024-03-31,1050.0
2024-04-30,1010.0
2024-05-31,1003.0
2024-06-30,981.0
2024-07-31,1038.0
2024-08-31,1045.0
2024-09-30,1062.0
2024-10-31,1091.0
2024-11-30,1047.0
2024-12-31,1049.0
2025-01-31,916.0
2025-02-28,1110.0
2025-03-31,1291.0
2025-04-30,1317.0
2025-05-31,1280.0
2025-06-30,689.0
2025-07-31,679.0
2025-08-31,676.0
2025-09-30,743.0
2025-10-31,1020.0
2025-11-30,1051.0
2025-12-31,1011.0
2026-01-31,1056.0
2026-02-28,1084.0
2026-03-31,1095.0
2026-04-30,949.0
2026-05-31,902.0
2026-06-30,899.0
2026-07-31,904.0
