date,D30:ROSN.MAD1.P4
2019-01-31,13.0
2019-02-28,17.0
2019-03-31,117.0
2019-04-30,5.0
2020-03-31,0.0
2020-04-30,0.0
2020-05-31,25.0
2020-06-30,56.0
2020-07-31,28.0
2020-08-31,192.0
2020-09-30,68.0
2021-03-31,22.0
2021-04-30,40.0
2021-06-30,10.0
2021-07-31,25.0
2021-09-30,15.0
2022-04-30,10.0
2022-06-30,20.0
2022-07-31,37.0
2022-11-30,98.0
2022-12-31,49.0
2023-02-28,25.0
2023-03-31,32.0
2023-04-30,73.0
2023-05-31,0.0
2023-08-31,45.0
2023-10-31,53.0
2023-11-30,59.0
2023-12-31,54.0
2024-01-31,61.0
2024-02-29,57.0
2024-03-31,59.0
2024-04-30,129.0
2024-05-31,14.0
2024-06-30,82.0
2024-07-31,264.0
2024-08-31,67.0
2024-09-30,15.0
2024-10-31,39.0
2024-11-30,41.0
2024-12-31,442.0
2025-01-31,698.0
2025-02-28,222.0
2025-03-31,73.0
2025-04-30,137.0
2025-05-31,6.0
2025-06-30,51.0
2025-07-31,225.0
2025-08-31,151.0
2025-09-30,52.0
2025-10-31,99.0
2025-11-30,87.0
2025-12-31,107.0
2026-01-31,54.0
2026-02-28,101.0
2026-03-31,60.0
2026-04-30,365.0
2026-05-31,348.0
2026-06-30,205.0
2026-07-31,142.0
