date,D30:ROSN.MAD2.P1ZZA2
2019-01-31,257.0
2019-02-28,247.0
2019-03-31,150.0
2019-04-30,614.0
2019-05-31,675.0
2019-06-30,748.0
2019-07-31,698.0
2019-08-31,604.0
2019-09-30,865.0
2019-10-31,832.0
2019-11-30,971.0
2019-12-31,941.0
2020-01-31,794.0
2020-02-29,864.0
2020-03-31,1104.0
2020-04-30,421.0
2020-05-31,547.0
2020-06-30,282.0
2020-07-31,147.0
2020-08-31,342.0
2020-09-30,652.0
2020-10-31,269.0
2020-11-30,201.0
2020-12-31,221.0
2021-01-31,56.0
2021-02-28,0.0
2021-03-31,81.0
2021-04-30,9.0
2021-05-31,429.0
2021-06-30,314.0
2021-07-31,151.0
2021-08-31,181.0
2021-09-30,58.0
2021-10-31,-2.0
2021-11-30,61.0
2021-12-31,237.0
2022-01-31,282.0
2022-02-28,344.0
2022-03-31,86.0
2022-04-30,148.0
2022-05-31,282.0
2022-06-30,157.0
2022-07-31,-8.0
2022-08-31,298.0
2022-09-30,86.0
2022-10-31,100.0
2022-11-30,10.0
2022-12-31,305.0
2023-01-31,-17.0
2023-02-28,265.0
2023-03-31,144.0
2023-04-30,115.0
2023-05-31,295.0
2023-06-30,122.0
2023-07-31,80.0
2023-08-31,71.0
2023-09-30,0.0
2023-10-31,0.0
2023-11-30,0.0
2023-12-31,100.0
2024-01-31,291.0
2024-02-29,0.0
2024-03-31,391.0
2024-04-30,100.0
2024-05-31,75.0
2024-06-30,430.0
2024-07-31,626.0
2024-08-31,578.0
2024-09-30,290.0
2024-10-31,869.0
2024-11-30,1117.0
2024-12-31,1148.0
2025-01-31,639.0
2025-02-28,420.0
2025-03-31,759.0
2025-04-30,701.0
2025-05-31,785.0
2025-06-30,896.0
2025-07-31,910.0
2025-08-31,898.0
2025-09-30,1073.0
2025-10-31,1633.0
2025-11-30,1723.0
2025-12-31,2314.0
2026-01-31,1726.0
2026-02-28,1580.0
2026-03-31,1685.0
2026-04-30,1717.0
2026-05-31,1022.0
2026-06-30,1060.0
2026-07-31,1599.0
