date,D30:ROSN.MAG1.P4
2019-01-31,8.4
2019-02-28,8.9
2019-03-31,11.4
2019-04-30,9.2
2019-05-31,9.9
2019-06-30,8.5
2019-07-31,8.5
2019-08-31,9.2
2019-09-30,5.4
2019-10-31,8.4
2019-11-30,10.4
2019-12-31,7.6
2020-01-31,4.1
2020-02-29,2.0
2020-03-31,3.4
2020-04-30,2.5
2020-05-31,1.6
2020-06-30,1.4
2020-07-31,0.9
2020-08-31,3.6
2020-09-30,1.3
2020-10-31,0.9
2020-11-30,2.1
2020-12-31,5.0
2021-01-31,20.4
2021-02-28,27.7
2021-03-31,24.1
2021-04-30,18.4
2021-05-31,13.8
2021-06-30,13.6
2021-07-31,12.3
2021-08-31,19.3
2021-09-30,18.3
2021-10-31,14.0
2021-11-30,11.2
2021-12-31,11.1
2022-01-31,11.1
2022-02-28,10.0
2022-03-31,9.9
2022-04-30,12.2
2022-05-31,17.7
2022-06-30,18.5
2022-07-31,14.4
2022-08-31,14.6
2022-09-30,17.2
2022-10-31,22.1
2022-11-30,19.3
2022-12-31,31.7
2023-01-31,28.8
2023-02-28,28.0
2023-03-31,21.6
2023-04-30,17.9
2023-05-31,12.0
2023-06-30,11.6
2023-07-31,23.6
2023-08-31,29.4
2023-09-30,35.0
2023-10-31,37.5
2023-11-30,30.3
2023-12-31,26.1
2024-01-31,23.9
2024-02-29,22.0
2024-03-31,23.4
2024-04-30,24.2
2024-05-31,27.7
2024-06-30,31.3
2024-07-31,32.8
2024-08-31,33.4
2024-09-30,34.8
2024-10-31,39.6
2024-11-30,44.2
2024-12-31,47.0
2025-01-31,45.4
2025-02-28,37.8
2025-03-31,30.8
2025-04-30,28.6
2025-05-31,49.6
2025-06-30,47.1
2025-07-31,44.1
2025-08-31,45.4
2025-09-30,43.0
2025-10-31,44.4
2025-11-30,46.4
2025-12-31,44.5
2026-01-31,39.1
2026-02-28,33.1
2026-03-31,24.0
2026-04-30,29.9
2026-05-31,25.4
2026-06-30,29.4
2026-07-31,23.5
