date,D9:BTO.WAF.I5009
2025-09-26,4934.0
2025-10-03,500.0
2025-10-10,206.0
2025-10-17,177.0
2025-10-24,115.0
2025-10-31,104.0
2025-11-07,213.0
2025-11-14,146.0
2025-11-21,147.0
2025-11-28,259.0
2025-12-05,34.0
2025-12-12,53.0
2025-12-19,473.0
2025-12-26,163.0
2026-01-02,164.0
2026-01-09,437.0
2026-01-16,69.0
2026-01-23,73.0
2026-01-30,3.0
2026-02-06,723.0
2026-02-13,206.0
2026-02-20,225.0
2026-02-27,162.0
2026-03-06,127.0
2026-03-13,165.0
2026-03-20,130.0
2026-03-27,132.0
2026-04-03,528.0
2026-04-10,422.0
2026-04-17,226.0
2026-04-24,204.0
2026-05-01,120.0
2026-05-08,62.0
2026-05-15,759.0
2026-05-22,214.0
2026-05-29,288.0
2026-06-05,379.0
2026-06-12,421.0
2026-06-19,394.0
2026-06-26,397.0
2026-07-03,218.0
2026-07-10,110.0
2026-07-17,249.0
2026-07-24,13.0
2026-07-31,11.0
2026-08-07,12.0
2026-08-14,127.0
2026-08-21,59.0
2026-08-28,9.0
2026-09-04,11.0
