date,D9:BTO.WAF.N3005
2023-12-15,1328.0
2023-12-22,1279.0
2023-12-29,849.0
2024-01-05,723.0
2024-01-12,2335.0
2024-01-19,2695.0
2024-01-26,1402.0
2024-02-02,1438.0
2024-02-09,977.0
2024-02-16,442.0
2024-02-23,656.0
2024-03-01,1442.0
2024-03-08,887.0
2024-03-15,619.0
2024-03-22,954.0
2024-03-29,1575.0
2024-04-05,756.0
2024-04-12,889.0
2024-04-19,864.0
2024-04-26,998.0
2024-05-03,1171.0
2024-05-10,696.0
2024-05-17,1913.0
2024-05-24,880.0
2024-05-31,1037.0
2024-06-07,920.0
2024-06-14,806.0
2024-06-21,1026.0
2024-06-28,957.0
2024-07-05,1723.0
2024-07-12,1785.0
2024-07-19,1742.0
2024-07-26,2008.0
2024-08-02,3142.0
2024-08-09,2919.0
2024-08-16,2231.0
2024-08-23,1752.0
2024-08-30,1586.0
2024-09-06,2604.0
2024-09-13,2368.0
2024-09-20,1305.0
2024-09-27,2051.0
2024-10-04,1979.0
2024-10-11,1670.0
2024-10-18,3040.0
2024-10-25,3498.0
2024-11-01,15739.0
2024-11-08,5101.0
2024-11-15,4077.0
2024-11-22,3451.0
2024-11-29,3224.0
2024-12-06,4580.0
2024-12-13,4235.0
2024-12-20,1684.0
2024-12-27,1395.0
2025-01-03,773.0
2025-01-10,1842.0
2025-01-17,2293.0
2025-01-24,2104.0
2025-01-31,3094.0
2025-02-07,2131.0
2025-02-14,6614.0
2025-02-21,5850.0
2025-02-28,4174.0
2025-03-07,3733.0
2025-03-14,4407.0
2025-03-21,5111.0
2025-03-28,4847.0
2025-04-04,3895.0
2025-04-11,6873.0
2025-04-18,3595.0
2025-04-25,3372.0
2025-05-02,6286.0
2025-05-09,6162.0
2025-05-16,3709.0
2025-05-23,3514.0
2025-05-30,3909.0
2025-06-06,5036.0
2025-06-13,4793.0
2025-06-20,2962.0
2025-06-27,4380.0
2025-07-04,3119.0
2025-07-11,4935.0
2025-07-18,3284.0
2025-07-25,4571.0
2025-08-01,4150.0
2025-08-08,7949.0
2025-08-15,6785.0
2025-08-22,6127.0
2025-08-29,9248.0
2025-09-05,6408.0
2025-09-12,10025.0
2025-09-19,5822.0
2025-09-26,9464.0
2025-10-03,13999.0
2025-10-10,13230.0
2025-10-17,8434.0
2025-10-24,10216.0
2025-10-31,7752.0
2025-11-07,6859.0
2025-11-14,9407.0
2025-11-21,12556.0
2025-11-28,12187.0
2025-12-05,14494.0
2025-12-12,10461.0
2025-12-19,10428.0
2025-12-26,5372.0
2026-01-02,3893.0
2026-01-09,9836.0
2026-01-16,12297.0
2026-01-23,11134.0
2026-01-30,8805.0
2026-02-06,8899.0
2026-02-13,12207.0
2026-02-20,12676.0
2026-02-27,6915.0
2026-03-06,8137.0
2026-03-13,7212.0
2026-03-20,6304.0
2026-03-27,6001.0
2026-04-03,6509.0
2026-04-10,8206.0
2026-04-17,11008.0
2026-04-24,9528.0
2026-05-01,9766.0
2026-05-08,15229.0
2026-05-15,9210.0
2026-05-22,9398.0
2026-05-29,12587.0
2026-06-05,10178.0
2026-06-12,10421.0
2026-06-19,11516.0
2026-06-26,8411.0
2026-07-03,5452.0
2026-07-10,7405.0
2026-07-17,10416.0
2026-07-24,6778.0
2026-07-31,8860.0
2026-08-07,6822.0
2026-08-14,10996.0
2026-08-21,9552.0
2026-08-28,7702.0
2026-09-04,9963.0
