date,NZDM:bond_wavg_short
2019-01-17,2.2709
2019-01-24,2.6998
2019-01-31,1.9118
2019-02-14,2.2236
2019-02-21,2.6079
2019-02-26,1.82
2019-03-14,2.03
2019-03-21,2.3779
2019-03-28,1.4456
2019-04-11,2.0361
2019-04-18,2.3423
2019-05-09,1.8281
2019-05-16,2.0865
2019-05-23,1.4452
2019-06-13,1.6869
2019-06-20,1.8851
2019-06-27,1.2688
2019-07-11,1.5346
2019-07-18,1.968
2019-07-25,1.2096
2019-08-08,1.1169
2019-08-15,1.3642
2019-08-22,0.8411
2019-09-12,1.2898
2019-09-26,0.9049
2019-10-10,1.0396
2019-10-17,1.6062
2019-10-24,0.971
2019-10-31,1.3071
2019-11-14,1.4308
2019-11-21,1.7147
2019-11-28,1.0715
2019-12-12,1.4988
2020-01-16,1.6718
2020-01-23,1.9299
2020-01-30,1.1134
2020-02-13,1.5787
2020-02-20,1.7453
2020-02-27,0.9668
2020-03-12,1.2319
2020-03-19,2.5658
2020-03-26,0.7627
2020-04-02,0.5006
2020-04-16,0.3405
2020-04-23,0.4743
2020-04-30,0.1693
2020-05-07,0.2809
2020-05-15,0.0772
2020-05-21,0.2246
2020-05-28,0.2208
2020-06-04,0.4191
2020-06-11,0.3068
2020-06-25,0.327
2020-07-02,0.4538
2020-07-09,0.3288
2020-07-23,0.3189
2020-07-30,0.3688
2020-08-06,0.3215
2020-08-13,0.2574
2020-08-21,0.0582
2020-09-03,0.0779
2020-09-10,0.0825
2020-09-17,-0.0213
2020-09-24,-0.0483
2020-10-01,-0.0142
2020-10-08,0.0102
2020-10-15,-0.0109
2020-10-22,0.0195
2020-11-05,0.0102
2020-11-12,0.2235
2020-11-19,0.2228
2020-11-26,0.2159
2020-12-03,0.279
2020-12-10,0.2164
2020-12-17,0.3032
2021-01-14,0.3112
2021-01-21,0.34
2021-01-28,0.2913
2021-02-11,0.4143
2021-02-18,0.6
2021-02-25,0.6334
2021-03-04,0.8689
2021-03-11,0.5719
2021-03-18,0.7875
2021-03-25,0.3924
2021-04-01,0.6992
2021-04-08,0.4448
2021-04-15,0.6295
2021-04-22,0.4031
2021-04-29,0.6024
2021-05-06,0.491
2021-05-13,1.064
2021-05-21,0.5195
2021-05-27,1.131
2021-06-03,0.5115
2021-06-17,0.5532
2021-06-24,1.0936
2021-07-01,0.737
2021-07-08,1.0919
2021-07-15,0.9201
2021-07-22,1.1526
2021-07-29,0.8817
2021-08-05,1.2422
2021-08-12,1.1651
2021-08-19,1.2901
2021-08-26,1.1175
2021-09-02,1.4265
2021-09-09,1.31
2021-09-23,1.2074
2021-09-30,1.5255
2021-10-07,1.1544
2021-10-14,1.6876
2021-10-21,1.7356
2021-10-28,2.3186
2021-11-04,2.0471
2021-11-11,2.3079
2021-11-16,2.0372
2021-11-25,2.2802
2021-12-02,1.8846
2021-12-09,2.3259
2021-12-16,2.0238
2022-01-20,2.444
2022-01-27,2.6805
2022-02-03,2.3434
2022-02-10,2.7418
2022-02-17,2.635
2022-02-24,2.8143
2022-03-03,2.646
2022-03-10,2.8616
2022-03-17,3.01
2022-03-24,3.1525
2022-03-31,3.1275
2022-04-07,3.2346
2022-04-21,3.3671
2022-04-28,3.5131
2022-05-05,3.6079
2022-05-12,3.4192
2022-05-20,3.3175
2022-05-26,3.3416
2022-06-02,3.4109
2022-06-09,3.5334
2022-06-16,3.9716
2022-06-23,3.656
2022-06-30,3.645
2022-07-07,3.3924
2022-07-14,3.5376
2022-07-21,3.7037
2022-07-28,3.3431
2022-08-04,3.2684
2022-08-11,3.3621
2022-08-18,3.4687
2022-09-01,3.9661
2022-09-08,3.865
2022-09-15,3.92
2022-09-22,4.0353
2022-09-29,4.1618
2022-10-06,4.049
2022-10-13,4.3692
2022-10-20,4.7526
2022-10-27,4.3926
2022-11-03,4.5662
2022-11-10,4.5215
2022-11-24,4.5866
2022-12-01,4.2726
2022-12-08,4.1176
2022-12-15,4.4557
2023-01-19,3.9434
2023-01-26,4.0245
2023-02-02,3.9361
2023-02-09,4.0973
2023-02-16,4.3164
2023-02-23,4.6544
2023-03-02,4.6147
2023-03-16,4.3469
2023-03-23,4.2385
2023-03-30,4.2511
2023-04-06,4.2675
2023-04-13,4.0488
2023-04-20,4.3764
2023-04-27,4.0053
2023-05-04,4.3232
2023-05-11,4.0562
2023-05-19,4.6924
2023-05-25,4.302
2023-06-01,4.2203
2023-06-08,4.522
2023-06-15,4.4806
2023-06-22,4.4954
2023-06-29,4.4832
2023-07-13,4.8328
2023-07-20,4.6373
2023-07-27,4.9505
2023-08-03,4.7301
2023-08-10,5.06
2023-08-17,5.0087
2023-08-24,5.0631
2023-08-31,4.9195
2023-09-07,5.0017
2023-09-14,5.2025
2023-09-21,5.2077
2023-09-28,5.226
2023-10-05,5.4614
2023-10-12,5.3128
2023-10-20,5.4381
2023-10-26,5.3216
2023-11-02,5.1929
2023-11-09,4.915
2023-11-16,4.8439
2023-11-23,4.8086
2023-11-30,4.7806
2023-12-07,4.7862
2023-12-14,4.4454
2024-01-18,4.4118
2024-01-25,4.4992
2024-02-01,4.3768
2024-02-08,4.672
2024-02-15,4.7996
2024-02-29,4.5528
2024-03-07,4.5426
2024-03-14,4.461
2024-03-21,4.3869
2024-03-28,4.358
2024-04-11,4.6031
2024-04-18,4.7271
2024-04-24,4.7313
2024-05-02,4.7031
2024-05-09,4.5944
2024-05-16,4.4559
2024-05-23,4.559
2024-05-31,4.6725
2024-06-13,4.5019
2024-06-20,4.4576
2024-06-27,4.5365
2024-07-04,4.5786
2024-07-11,4.3231
2024-07-18,4.0837
2024-07-25,4.0813
2024-08-01,4.0164
2024-08-08,4.1213
2024-08-15,3.7129
2024-08-29,3.9693
2024-09-05,3.8728
2024-09-12,3.7496
2024-09-19,4.0292
2024-09-26,3.7739
2024-10-03,4.0176
2024-10-10,3.8191
2024-10-17,4.1892
2024-10-31,3.9931
2024-11-07,3.9485
2024-11-14,4.244
2024-11-21,4.1592
2024-11-28,3.947
2024-12-05,3.8929
2024-12-12,3.812
