date,R1:RBNZ.MRA101
2019-01-31,14497.0
2019-02-28,15499.0
2019-03-31,13476.0
2019-04-30,12327.0
2019-05-31,13355.0
2019-06-30,13579.0
2019-07-31,11875.0
2019-08-31,12463.0
2019-09-30,13400.0
2019-10-31,10948.0
2019-11-30,10092.0
2019-12-31,9867.0
2020-01-31,9645.0
2020-02-29,9949.0
2020-03-31,18819.0
2020-04-30,13377.0
2020-05-31,11864.0
2020-06-30,9838.0
2020-07-31,9190.0
2020-08-31,4857.0
2020-09-30,3134.0
2020-10-31,2223.0
2020-11-30,2096.0
2020-12-31,3975.0
2021-01-31,2421.0
2021-02-28,2370.0
2021-03-31,3253.0
2021-04-30,3589.0
2021-05-31,3138.0
2021-06-30,5325.0
2021-07-31,3407.0
2021-08-31,5839.0
2021-09-30,6734.0
2021-10-31,6995.0
2021-11-30,6186.0
2021-12-31,7570.0
2022-01-31,8506.0
2022-02-28,7911.0
2022-03-31,7925.0
2022-04-30,6274.0
2022-05-31,10249.0
2022-06-30,7972.0
2022-07-31,7834.0
2022-08-31,6069.0
2022-09-30,6584.0
2022-10-31,6102.0
2022-11-30,9810.0
2022-12-31,9528.0
2023-01-31,11306.0
2023-02-28,15362.0
2023-03-31,12757.0
2023-04-30,13826.0
2023-05-31,12908.0
2023-06-30,8267.0
2023-07-31,13115.0
2023-08-31,13416.0
2023-09-30,12088.0
2023-10-31,12211.0
2023-11-30,10713.0
2023-12-31,7063.0
2024-01-31,11202.0
2024-02-29,9024.0
2024-03-31,6659.0
2024-04-30,8674.0
2024-05-31,5611.0
2024-06-30,6190.0
2024-07-31,8619.0
2024-08-31,7967.0
2024-09-30,7024.0
2024-10-31,10875.0
2024-11-30,9991.0
2024-12-31,7813.0
2025-01-31,13865.0
2025-02-28,14471.0
2025-03-31,14176.0
2025-04-30,12805.0
2025-05-31,14187.0
2025-06-30,12796.0
2025-07-31,17183.0
2025-08-31,15726.0
2025-09-30,15989.0
2025-10-31,14808.0
2025-11-30,20247.0
2025-12-31,16440.0
2026-01-31,15954.0
2026-02-28,15943.0
2026-03-31,18959.0
2026-04-30,18981.0
2026-05-31,18905.0
2026-06-30,17421.0
2026-07-31,16896.0
