date,R1:RBNZ.MRL19
2019-01-31,4.0
2019-02-28,3.0
2019-03-31,4.0
2019-04-30,3.0
2019-05-31,4.0
2019-06-30,207.0
2019-07-31,207.0
2019-08-31,206.0
2019-09-30,12.0
2019-10-31,13.0
2019-11-30,14.0
2019-12-31,14.0
2020-01-31,11.0
2020-02-29,10.0
2020-03-31,11.0
2020-04-30,12.0
2020-05-31,13.0
2020-06-30,16.0
2020-07-31,16.0
2020-08-31,16.0
2020-09-30,16.0
2020-10-31,17.0
2020-11-30,18.0
2020-12-31,16.0
2021-01-31,16.0
2021-02-28,16.0
2021-03-31,16.0
2021-04-30,28.0
2021-05-31,17.0
2021-06-30,149.0
2021-07-31,149.0
2021-08-31,150.0
2021-09-30,9.0
2021-10-31,10.0
2021-11-30,11.0
2021-12-31,9.0
2022-01-31,9.0
2022-02-28,9.0
2022-03-31,10.0
2022-04-30,9.0
2022-05-31,10.0
2022-06-30,9.0
2022-07-31,8.0
2022-08-31,10.0
2022-09-30,9.0
2022-10-31,10.0
2022-11-30,10.0
2022-12-31,11.0
2023-01-31,9.0
2023-02-28,10.0
2023-03-31,11.0
2023-04-30,11.0
2023-05-31,11.0
2023-06-30,11.0
2023-07-31,11.0
2023-08-31,12.0
2023-09-30,13.0
2023-10-31,13.0
2023-11-30,11.0
2023-12-31,12.0
2024-01-31,11.0
2024-02-29,12.0
2024-03-31,13.0
2024-04-30,14.0
2024-05-31,11.0
2024-06-30,608.0
2024-07-31,609.0
2024-08-31,612.0
2024-09-30,15.0
2024-10-31,14.0
2024-11-30,13.0
2024-12-31,16.0
2025-01-31,13.0
2025-02-28,14.0
2025-03-31,14.0
2025-04-30,16.0
2025-05-31,12.0
2025-06-30,560.0
2025-07-31,563.0
2025-08-31,566.0
2025-09-30,566.0
2025-10-31,19.0
2025-11-30,21.0
2025-12-31,22.0
2026-01-31,22.0
2026-02-28,23.0
2026-03-31,24.0
2026-04-30,22.0
2026-05-31,21.0
2026-06-30,19.0
2026-07-31,20.0
