date,R3:UGEN.MR70042
2019-01-31,607.0
2019-02-28,730.0
2019-03-31,744.0
2019-04-30,865.0
2019-05-31,969.0
2019-06-30,947.0
2019-07-31,706.0
2019-08-31,1174.0
2019-09-30,1140.0
2019-10-31,1270.0
2019-11-30,1021.0
2019-12-31,1294.0
2020-01-31,2073.0
2020-02-29,1646.0
2020-03-31,1478.0
2020-04-30,1291.0
2020-05-31,1156.0
2020-06-30,992.0
2020-07-31,1134.0
2020-08-31,1391.0
2020-09-30,1676.0
2020-10-31,1307.0
2020-11-30,1621.0
2020-12-31,981.0
2021-01-31,1633.0
2021-02-28,1299.0
2021-03-31,1561.0
2021-04-30,1561.0
2021-05-31,1498.0
2021-06-30,1246.0
2021-07-31,1394.0
2021-08-31,912.0
2021-09-30,1287.0
2021-10-31,837.0
2021-11-30,856.0
2021-12-31,860.0
2022-01-31,917.0
2022-02-28,869.0
2022-03-31,852.0
2022-04-30,956.0
2022-05-31,931.0
2022-06-30,1037.0
2022-07-31,1095.0
2022-08-31,1022.0
2022-09-30,1273.0
2022-10-31,1203.0
2022-11-30,1098.0
2022-12-31,1122.0
2023-01-31,1054.0
2023-02-28,1172.0
2023-03-31,1057.0
2023-04-30,1187.0
2023-05-31,1130.0
2023-06-30,2248.0
2023-07-31,1129.0
2023-08-31,1193.0
2023-09-30,1174.0
2023-10-31,1303.0
2023-11-30,1163.0
2023-12-31,1730.0
2024-01-31,1117.0
2024-02-29,1753.0
2024-03-31,1497.0
2024-04-30,1526.0
2024-05-31,1282.0
2024-06-30,1315.0
2024-07-31,1989.0
2024-08-31,1276.0
2024-09-30,1357.0
2024-10-31,2325.0
2024-11-30,1193.0
2024-12-31,4709.0
2025-01-31,8269.0
2025-02-28,8204.0
2025-03-31,4596.0
2025-04-30,5298.0
2025-05-31,5231.0
2025-06-30,4739.0
2025-07-31,3195.0
2025-08-31,3466.0
2025-09-30,2997.0
2025-10-31,2166.0
2025-11-30,2129.0
2025-12-31,2797.0
2026-01-31,2106.0
2026-02-28,1894.0
2026-03-31,3072.0
2026-04-30,2359.0
2026-05-31,4585.0
2026-06-30,3701.0
2026-07-31,2484.0
