 ,,ABSPP,,CBPP3,,CSPP,,PSPP,,,,,,,,,
,,Realised redemptions,Estimated redemptions,Realised redemptions,Estimated redemptions,Realised redemptions,Estimated redemptions,Realised redemptions,Estimated redemptions,,,,,,,,
2014,Oct-14,0,,0,,0,,0,,,,,,,,,
,Nov-14,2,,10,,0,,0,,,,,,,,,
,Dec-14,4,,0,,0,,0,,,,,,,,,
2015,Jan-15,22,,6,,0,,0,,,,,,,,,
,Feb-15,29,,53,,0,,0,,,,,,,,,
,Mar-15,41,,25,,0,,0,,,,,,,,,
,Apr-15,105,,96,,0,,0,,,,,,,,,
,May-15,63,,11,,0,,0,,,,,,,,,
,Jun-15,80,,298,,0,,0,,,,,,,,,
,Jul-15,121,,64,,0,,0,,,,,,,,,
,Aug-15,228,,263,,0,,0,,,,,,,,,
,Sep-15,199,,355,,0,,0,,,,,,,,,
,Oct-15,295,,518,,0,,0,,,,,,,,,
,Nov-15,264,,182,,0,,0,,,,,,,,,
,Dec-15,396,,34,,0,,0,,,,,,,,,
2016,Jan-16,266,,1191,,0,,0,,,,,,,,,
,Feb-16,332,,280,,0,,0,,,,,,,,,
,Mar-16,495,,499,,0,,0,,,,,,,,,
,Apr-16,444,,295,,0,,0,,,,,,,,,
,May-16,441,,1270,,0,,0,,,,,,,,,
,Jun-16,471,,1043,,0,,0,,,,,,,,,
,Jul-16,432,,945,,0,,0,,,,,,,,,
,Aug-16,368,,398,,0,,0,,,,,,,,,
,Sep-16,527,,425,,0,,0,,,,,,,,,
,Oct-16,748,,814,,0,,0,,,,,,,,,
,Nov-16,381,,521,,0,,0,,,,,,,,,
,Dec-16,503,,948,,0,,0,,,,,,,,,
2017,Jan-17,716,,2385,,8,,0,,,,,,,,,
,Feb-17,341,,1078,,101,,0,,,,,,,,,
,Mar-17,611,,2209,,88,,352,,,,,,,,,
,Apr-17,959,,2156,,8,,1946,,,,,,,,,
,May-17,565,,1059,,70,,698,,,,,,,,,
,Jun-17,815,,1742,,35,,1872,,,,,,,,,
,Jul-17,498,,907,,78,,5742,,,,,,,,,
,Aug-17,768,,306,,0,,49,,,,,,,,,
,Sep-17,720,,1317,,112,,3606,,,,,,,,,
,Oct-17,846,,502,,165,,8462,,,,,,,,,
,Nov-17,440,,410,,95,,2159,,,,,,,,,
