KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,COUNT_AREA,CURRENCY_TRANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,AGG_EQUN,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W38,366304,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W39,429593,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W40,424724,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W41,422436,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W42,416581,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W43,410759,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W44,408472,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W45,404622,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W46,398190,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W47,396240,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W48,398800,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W49,392936,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W50,378895,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W51,480356,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2014-W52,473285,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2015-W01,473285,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2015-W02,473285,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2015-W03,459130,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.W.U2.C.A050200.U2.EUR,W,U2,C,A050200,U2,EUR,2015-W04,445266,A,F,,,P7D,,E,,,,,,,,,0,,Longer-term refinancing operations - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Longer-term refinancing operations, Euro - Euro area (changing composition) counterpart",EUR,6
