KEY,FREQ,REF_AREA,IR_TYPE,TR_TYPE,MATURITY_CAT,BS_COUNT_SECTOR,CURRENCY_TRANS,IR_BUS_COV,IR_FV_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2014-10,2.115,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2014-11,2.072,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2014-12,1.783,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-01,1.543,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-02,1.518,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-03,1.229,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-04,1.31,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-05,1.784,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-06,2.223,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-07,2.1,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-08,1.957,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-09,2.025,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-10,1.725,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-11,1.719,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2015-12,1.685,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-01,1.719,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-02,1.724,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-03,1.542,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-04,1.526,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-05,1.57,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-06,1.48,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-07,1.173,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-08,1.008,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-09,1.041,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-10,1.072,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-11,1.426,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2016-12,1.44,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2017-01,1.458,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2017-02,1.703,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2017-03,1.717,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2017-04,1.613,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2017-05,1.571,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
IRS.M.ES.L.L40.CI.0000.EUR.N.Z,M,ES,L,L40,CI,0000,EUR,N,Z,2017-06,1.453,A,F,,,P1M,,A,,,,,,,,,2,,,Long-term interest rate for convergence purposes - Euro,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector",PC,0
