KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,COUNT_AREA,CURRENCY_TRANS,TIME_PER_COLLECT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,BREAKS,COLLECTION,COMMENT_TS,COMPILING_ORG,COVERAGE,DATA_COMP,DECIMALS,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
TGB.M.ES.N.A094T.U2.EUR.E,M,ES,N,A094T,U2,EUR,E,2025-09,-389564.76,E,F,,,P1M,,E,Monthly TARGET balances for Spain,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.ES.N.A094T.U2.EUR.E,M,ES,N,A094T,U2,EUR,E,2025-10,-391727.22,E,F,,,P1M,,E,Monthly TARGET balances for Spain,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.ES.N.A094T.U2.EUR.E,M,ES,N,A094T,U2,EUR,E,2025-11,-388412.71,E,F,,,P1M,,E,Monthly TARGET balances for Spain,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.ES.N.A094T.U2.EUR.E,M,ES,N,A094T,U2,EUR,E,2025-12,-414491.16,E,F,,,P1M,,E,Monthly TARGET balances for Spain,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.ES.N.A094T.U2.EUR.E,M,ES,N,A094T,U2,EUR,E,2026-01,-394880.12,E,F,,,P1M,,E,Monthly TARGET balances for Spain,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.ES.N.A094T.U2.EUR.E,M,ES,N,A094T,U2,EUR,E,2026-02,-428605.17,E,F,,,P1M,,E,Monthly TARGET balances for Spain,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.ES.N.A094T.U2.EUR.E,M,ES,N,A094T,U2,EUR,E,2026-03,-454608.3,E,F,,,P1M,,E,Monthly TARGET balances for Spain,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.ES.N.A094T.U2.EUR.E,M,ES,N,A094T,U2,EUR,E,2026-04,-444638.09,E,F,,,P1M,,E,Monthly TARGET balances for Spain,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.ES.N.A094T.U2.EUR.E,M,ES,N,A094T,U2,EUR,E,2026-05,-448787.57,E,F,,,P1M,,E,Monthly TARGET balances for Spain,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.ES.N.A094T.U2.EUR.E,M,ES,N,A094T,U2,EUR,E,2026-06,-445663.15,E,F,,,P1M,,E,Monthly TARGET balances for Spain,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.ES.N.A094T.U2.EUR.E,M,ES,N,A094T,U2,EUR,E,2026-07,-430474.26,P,F,,,P1M,,E,Monthly TARGET balances for Spain,,,,2,,,,,TARGET balances (end of month position),,EUR,6
