DATE,IUDBEDR,IUDSOIA,IUDMNPY,IUDSNPY,IUDLNPY,XUDLUSS,XUDLERS
12 Aug 2026,3.75,3.731,4.9593,4.4815,5.4735,1.3509,1.1704
13 Aug 2026,3.75,3.7308,4.9437,4.4686,5.4627,1.3507,1.1701
14 Aug 2026,3.75,3.7307,5.0087,4.5237,5.5236,1.3549,1.1699
17 Aug 2026,3.75,3.7312,5.0427,4.555,5.5582,1.3553,1.1696
18 Aug 2026,3.75,3.7311,5.0676,4.573,5.582,1.3543,1.1694
19 Aug 2026,3.75,3.7313,5.0401,4.5545,5.55,1.3608,1.1668
20 Aug 2026,3.75,3.7309,5.0478,4.561,5.5553,1.3632,1.1668
21 Aug 2026,3.75,3.731,5.0506,4.5562,5.5631,1.3625,1.1672
24 Aug 2026,3.75,3.7311,5.0513,4.5691,5.5563,1.3635,1.1688
25 Aug 2026,3.75,3.7316,4.9959,4.5131,5.5021,1.3633,1.1682
26 Aug 2026,3.75,3.7309,5.0121,4.529,5.5205,1.3588,1.1668
27 Aug 2026,3.75,3.7303,5.0254,4.5456,5.5287,1.3582,1.1664
28 Aug 2026,3.75,3.7308,5.0631,4.5935,5.5511,1.3571,1.1682
01 Sep 2026,3.75,3.7302,5.1333,4.6616,5.6139,1.3538,1.1675
02 Sep 2026,3.75,3.7298,5.171,4.6975,5.6469,1.3506,1.1649
03 Sep 2026,3.75,3.7301,5.0843,4.6085,5.5699,1.3518,1.1635
04 Sep 2026,3.75,3.7303,5.0737,4.6082,5.5555,1.3515,1.1635
07 Sep 2026,3.75,3.7293,5.1079,4.639,5.5899,1.3545,1.1646
08 Sep 2026,3.75,3.7302,5.0979,4.6384,5.5736,1.3553,1.1652
09 Sep 2026,3.75,3.7296,5.1922,4.735,5.6484,1.3563,1.1644
10 Sep 2026,3.75,,,,,1.3531,1.1635
